,Date,Weekday,Open,High,Low,Close,Adj Close,Volume
124,2010-07-07,Wednesday,14586.0,14719.0,14586.0,14719.0,14718.8,229959926
125,2010-07-11,Sunday,14743.0,14883.0,14743.0,14883.0,14883.4,157735172
126,2010-07-12,Monday,14922.0,14994.0,14922.0,14982.0,14981.5,186618512
127,2010-07-13,Tuesday,15014.0,15014.0,14999.0,15006.0,15005.9,161137491
128,2010-07-14,Wednesday,15052.0,15080.0,15052.0,15080.0,15080.4,280464177
129,2010-07-17,Saturday,15082.0,15118.0,15081.0,15118.0,15118.0,221550995
130,2010-07-18,Sunday,15138.0,15189.0,15138.0,15189.0,15189.0,173240919
131,2010-07-19,Monday,15197.0,15245.0,15197.0,15245.0,15244.8,141083056
132,2010-07-20,Tuesday,15276.0,15346.0,15276.0,15345.0,15344.6,142312762
133,2010-07-21,Wednesday,15356.0,15382.0,15347.0,15361.0,15360.7,216035455
134,2010-07-24,Saturday,15382.0,15456.0,15382.0,15455.0,15455.4,131212229
135,2010-07-25,Sunday,15501.0,15661.0,15501.0,15661.0,15660.9,162182763
136,2010-07-26,Monday,15705.0,15758.0,15705.0,15746.0,15746.5,200942052
137,2010-07-28,Wednesday,15751.0,15796.0,15747.0,15794.0,15794.1,131213546
138,2010-07-31,Saturday,15821.0,15849.0,15821.0,15840.0,15840.5,197464150
139,2010-08-01,Sunday,15845.0,15893.0,15844.0,15870.0,15870.0,138090259
140,2010-08-02,Monday,15923.0,16078.0,15923.0,16078.0,16078.1,170244608
141,2010-08-03,Tuesday,16153.0,16282.0,16149.0,16282.0,16281.7,223494427
142,2010-08-04,Wednesday,16335.0,16340.0,16318.0,16318.0,16317.9,206577626
143,2010-08-07,Saturday,16338.0,16608.0,16338.0,16606.0,16606.1,207915526
144,2010-08-08,Sunday,16625.0,16628.0,16585.0,16626.0,16625.9,180649823
145,2010-08-09,Monday,16641.0,16694.0,16641.0,16674.0,16674.4,186772548
146,2010-08-10,Tuesday,16720.0,16842.0,16720.0,16841.0,16841.4,206365883
147,2010-08-11,Wednesday,16916.0,17001.0,16916.0,16995.0,16995.1,287642494
148,2010-08-14,Saturday,16987.0,16991.0,16865.0,16865.0,16864.6,238704229
149,2010-08-15,Sunday,16855.0,16855.0,16696.0,16701.0,16701.1,140990932
150,2010-08-16,Monday,16692.0,16768.0,16692.0,16767.0,16766.9,195629606
151,2010-08-17,Tuesday,16799.0,16911.0,16799.0,16911.0,16910.8,164308813
